Corpus d'apprentissage,Corpus de test,Pr�cision train �poque 1,Pr�cision train �poque 2,Pr�cision train �poque 3,Pr�cision train �poque 4,Pr�cision train �poque 5, Pr�cision train �poque 6, Pr�cision train �poque 7, Pr�cision train �poque 8, Pr�cision train �poque 9, Pr�cision train �poque 10,Pr�cision globale,Pr�cision OOV,Pr�cision sur les mots ambigus,Pourcentage OOV,KL divergence,Perplexit�
ftb,foot_ftb_gsd_natdis,0.9242110405,0.957286739,0.9651039735,0.9701149633,0.973246832,0.9753362519,0.9772289407,0.9783460116,0.9794472535,0.9804263864,0.8842336978,0.3748674954,0.8994163269,16.9609614038,-0.0105399835,8.899540944
ftb,foot_ftb_gsd_partut,0.9242110405,0.957286739,0.9651039735,0.9701149633,0.973246832,0.9753362519,0.9772289407,0.9783460116,0.9794472535,0.9804263864,0.8969056902,0.4126849382,0.904181071,15.375824824,-0.0160512111,9.9062576514
ftb,foot_ftb_gsd_pud,0.9242110405,0.957286739,0.9651039735,0.9701149633,0.973246832,0.9753362519,0.9772289407,0.9783460116,0.9794472535,0.9804263864,0.8843075371,0.4396567464,0.8843171901,21.5025620231,-0.0171995116,10.8569380076
ftb,foot_ftb_gsd_sequoia,0.9242110405,0.957286739,0.9651039735,0.9701149633,0.973246832,0.9753362519,0.9772289407,0.9783460116,0.9794472535,0.9804263864,0.8979270315,0.440402054,0.9044261493,17.657684226,-0.0166009338,10.2423052272
ftb,foot_ftb_gsd_spoken,0.9242110405,0.957286739,0.9651039735,0.9701149633,0.973246832,0.9753362519,0.9772289407,0.9783460116,0.9794472535,0.9804263864,0.8858560794,0.4137931034,0.8847055523,16.5333431636,-0.0162279405,10.306044073
ftb,foot_ftb_natdis_partut,0.9242110405,0.957286739,0.9651039735,0.9701149633,0.973246832,0.9753362519,0.9772289407,0.9783460116,0.9794472535,0.9804263864,0.8842950481,0.3573818486,0.9009466144,14.4358019685,-0.0097218694,8.4273844435
ftb,foot_ftb_natdis_pud,0.9242110405,0.957286739,0.9651039735,0.9701149633,0.973246832,0.9753362519,0.9772289407,0.9783460116,0.9794472535,0.9804263864,0.874105717,0.3936603651,0.8819470314,20.6583846352,-0.0121590634,9.3611521739
ftb,foot_ftb_natdis_sequoia,0.9242110405,0.957286739,0.9651039735,0.9701149633,0.973246832,0.9753362519,0.9772289407,0.9783460116,0.9794472535,0.9804263864,0.8861171758,0.3864005348,0.9013864714,16.7434659196,-0.010750289,8.7730273338
ftb,foot_ftb_natdis_spoken,0.9242110405,0.957286739,0.9651039735,0.9701149633,0.973246832,0.9753362519,0.9772289407,0.9783460116,0.9794472535,0.9804263864,0.8743250054,0.3626278217,0.8820693455,15.6006930365,-0.0103617951,8.8350508461
ftb,foot_ftb_partut_pud,0.9242110405,0.957286739,0.9651039735,0.9701149633,0.973246832,0.9753362519,0.9772289407,0.9783460116,0.9794472535,0.9804263864,0.884367087,0.4283601223,0.8847873438,19.1359162458,-0.017016616,10.3945682248
ftb,foot_ftb_partut_sequoia,0.9242110405,0.957286739,0.9651039735,0.9701149633,0.973246832,0.9753362519,0.9772289407,0.9783460116,0.9794472535,0.9804263864,0.8989665689,0.4267386091,0.9063288935,15.1878202529,-0.0162801877,9.7060612703
ftb,foot_ftb_partut_spoken,0.9242110405,0.957286739,0.9651039735,0.9701149633,0.973246832,0.9753362519,0.9772289407,0.9783460116,0.9794472535,0.9804263864,0.8860340805,0.397328476,0.8852574653,14.0450473698,-0.0158799197,9.7593623958
ftb,foot_ftb_pud_sequoia,0.9242110405,0.957286739,0.9651039735,0.9701149633,0.973246832,0.9753362519,0.9772289407,0.9783460116,0.9794472535,0.9804263864,0.8860057266,0.4500362056,0.8860818882,21.3993438272,-0.0173738301,10.6894227193
ftb,foot_ftb_pud_spoken,0.9242110405,0.957286739,0.9651039735,0.9701149633,0.973246832,0.9753362519,0.9772289407,0.9783460116,0.9794472535,0.9804263864,0.8753713293,0.4281275701,0.8688579962,20.2786891289,-0.0170598062,10.7488854997
ftb,foot_ftb_sequoia_spoken,0.9242110405,0.957286739,0.9651039735,0.9701149633,0.973246832,0.9753362519,0.9772289407,0.9783460116,0.9794472535,0.9804263864,0.887774796,0.426602494,0.8866672015,16.3416522284,-0.0164636877,10.1037533263
ftb,foot_gsd_natdis_partut,0.9242110405,0.957286739,0.9651039735,0.9701149633,0.973246832,0.9753362519,0.9772289407,0.9783460116,0.9794472535,0.9804263864,0.7678524787,0.26861167,0.851419579,9.8204740664,0.0216116236,7.5762676396
ftb,foot_gsd_natdis_pud,0.9242110405,0.957286739,0.9651039735,0.9701149633,0.973246832,0.9753362519,0.9772289407,0.9783460116,0.9794472535,0.9804263864,0.7885793453,0.3329268293,0.8270631068,16.0614885538,0.0059100229,9.4265966099
ftb,foot_gsd_natdis_sequoia,0.9242110405,0.957286739,0.9651039735,0.9701149633,0.973246832,0.9753362519,0.9772289407,0.9783460116,0.9794472535,0.9804263864,0.7907758564,0.311999097,0.8609383524,12.1281380175,0.0144831643,8.3080737918
ftb,foot_gsd_natdis_spoken,0.9242110405,0.957286739,0.9651039735,0.9701149633,0.973246832,0.9753362519,0.9772289407,0.9783460116,0.9794472535,0.9804263864,0.7627181582,0.2829563628,0.8114792591,10.9853651344,0.0162100489,8.3571430262
ftb,foot_gsd_partut_pud,0.9242110405,0.957286739,0.9651039735,0.9701149633,0.973246832,0.9753362519,0.9772289407,0.9783460116,0.9794472535,0.9804263864,0.7959706233,0.359010435,0.8235436307,14.4910974306,-0.0023630336,12.0279474986
ftb,foot_gsd_partut_sequoia,0.9242110405,0.957286739,0.9651039735,0.9701149633,0.973246832,0.9753362519,0.9772289407,0.9783460116,0.9794472535,0.9804263864,0.8017064088,0.3384363853,0.8654074851,10.5135105246,0.0041605736,10.681706999
ftb,foot_gsd_partut_spoken,0.9242110405,0.957286739,0.9651039735,0.9701149633,0.973246832,0.9753362519,0.9772289407,0.9783460116,0.9794472535,0.9804263864,0.7661922101,0.3004680658,0.8025115664,9.3670512773,0.0058112469,10.5631428343
ftb,foot_gsd_pud_sequoia,0.9242110405,0.957286739,0.9651039735,0.9701149633,0.973246832,0.9753362519,0.9772289407,0.9783460116,0.9794472535,0.9804263864,0.8105546394,0.391055532,0.8344975593,16.780329561,-0.0048478156,12.4726473594
ftb,foot_gsd_pud_spoken,0.9242110405,0.957286739,0.9651039735,0.9701149633,0.973246832,0.9753362519,0.9772289407,0.9783460116,0.9794472535,0.9804263864,0.7882678186,0.3646983174,0.796861661,15.6301839496,-0.0037587366,12.4180259238
ftb,foot_gsd_sequoia_spoken,0.9242110405,0.957286739,0.9651039735,0.9701149633,0.973246832,0.9753362519,0.9772289407,0.9783460116,0.9794472535,0.9804263864,0.7904639235,0.3476759628,0.8203635565,11.6857743208,0.0014752469,11.2634319754
ftb,foot_natdis_partut_pud,0.9242110405,0.957286739,0.9651039735,0.9701149633,0.973246832,0.9753362519,0.9772289407,0.9783460116,0.9794472535,0.9804263864,0.7755779963,0.3124809587,0.8199203556,13.6432336786,0.0095515434,8.5733963617
ftb,foot_natdis_partut_sequoia,0.9242110405,0.957286739,0.9651039735,0.9701149633,0.973246832,0.9753362519,0.9772289407,0.9783460116,0.9794472535,0.9804263864,0.7732995507,0.2848620433,0.8577535183,9.6103513105,0.0208031407,7.326730736
ftb,foot_natdis_partut_spoken,0.9242110405,0.957286739,0.9651039735,0.9701149633,0.973246832,0.9753362519,0.9772289407,0.9783460116,0.9794472535,0.9804263864,0.7401047881,0.2524870923,0.7988280032,8.4528329708,0.0228797694,7.4345197226
ftb,foot_natdis_pud_sequoia,0.9242110405,0.957286739,0.9651039735,0.9701149633,0.973246832,0.9753362519,0.9772289407,0.9783460116,0.9794472535,0.9804263864,0.7920610279,0.3445229682,0.8309219858,15.932465809,0.0054527072,9.1366777988
ftb,foot_natdis_pud_spoken,0.9242110405,0.957286739,0.9651039735,0.9701149633,0.973246832,0.9753362519,0.9772289407,0.9783460116,0.9794472535,0.9804263864,0.7707097396,0.3209691051,0.794747158,14.79337929,0.0067117422,9.1917636004
ftb,foot_natdis_sequoia_spoken,0.9242110405,0.957286739,0.9651039735,0.9701149633,0.973246832,0.9753362519,0.9772289407,0.9783460116,0.9794472535,0.9804263864,0.7672732039,0.2975813743,0.8164225941,10.7752423784,0.015550972,8.1069950969
ftb,foot_partut_pud_sequoia,0.9242110405,0.957286739,0.9651039735,0.9701149633,0.973246832,0.9753362519,0.9772289407,0.9783460116,0.9794472535,0.9804263864,0.8001111596,0.3731879856,0.8281492248,14.3878792347,-0.0027923914,11.393216756
ftb,foot_partut_pud_spoken,0.9242110405,0.957286739,0.9651039735,0.9701149633,0.973246832,0.9753362519,0.9772289407,0.9783460116,0.9794472535,0.9804263864,0.7746998894,0.3440948579,0.7852852154,13.2414199875,-0.0016064908,11.397720599
ftb,foot_partut_sequoia_spoken,0.9242110405,0.957286739,0.9651039735,0.9701149633,0.973246832,0.9753362519,0.9772289407,0.9783460116,0.9794472535,0.9804263864,0.7719448276,0.3194878666,0.8087504143,9.1974785269,0.0051919524,9.9904183265
ftb,foot_pud_sequoia_spoken,0.9242110405,0.957286739,0.9651039735,0.9701149633,0.973246832,0.9753362519,0.9772289407,0.9783460116,0.9794472535,0.9804263864,0.7918718573,0.3776127321,0.8006842062,15.5380248461,-0.0041578061,11.8988872826
ftb,ftb_gsd_natdis_partut,0.9242110405,0.957286739,0.9651039735,0.9701149633,0.973246832,0.9753362519,0.9772289407,0.9783460116,0.9794472535,0.9804263864,0.9193149113,0.515298185,0.9080422873,12.8543517529,-0.0198011645,8.9726253431
ftb,ftb_gsd_natdis_pud,0.9242110405,0.957286739,0.9651039735,0.9701149633,0.973246832,0.9753362519,0.9772289407,0.9783460116,0.9794472535,0.9804263864,0.9025099796,0.5173672436,0.8877876043,19.0068935009,-0.0202424635,10.0383582862
ftb,ftb_gsd_natdis_sequoia,0.9242110405,0.957286739,0.9651039735,0.9701149633,0.973246832,0.9753362519,0.9772289407,0.9783460116,0.9794472535,0.9804263864,0.9188360116,0.5393006575,0.9080450539,15.1509566115,-0.0200638694,9.347090898
ftb,ftb_gsd_natdis_spoken,0.9242110405,0.957286739,0.9651039735,0.9701149633,0.973246832,0.9753362519,0.9772289407,0.9783460116,0.9794472535,0.9804263864,0.9064929961,0.5043267041,0.8885510051,14.0081837284,-0.0198151673,9.3973277577
ftb,ftb_gsd_partut_pud,0.9242110405,0.957286739,0.9651039735,0.9701149633,0.973246832,0.9753362519,0.9772289407,0.9783460116,0.9794472535,0.9804263864,0.9155901245,0.6141150582,0.8910892987,17.2300659859,-0.0224804529,12.3795068629
ftb,ftb_gsd_partut_sequoia,0.9242110405,0.957286739,0.9651039735,0.9701149633,0.973246832,0.9753362519,0.9772289407,0.9783460116,0.9794472535,0.9804263864,0.9354589472,0.6844990134,0.9135934633,13.3335790909,-0.0225785341,11.5033678809
ftb,ftb_gsd_partut_spoken,0.9242110405,0.957286739,0.9651039735,0.9701149633,0.973246832,0.9753362519,0.9772289407,0.9783460116,0.9794472535,0.9804263864,0.9218615163,0.6362208259,0.8923123136,12.2055516644,-0.0222756569,11.4564865311
ftb,ftb_gsd_pud_sequoia,0.9242110405,0.957286739,0.9651039735,0.9701149633,0.973246832,0.9753362519,0.9772289407,0.9783460116,0.9794472535,0.9804263864,0.9153867541,0.6238822396,0.8920367119,19.511925388,-0.0224832122,12.7661417365
ftb,ftb_gsd_pud_spoken,0.9242110405,0.957286739,0.9651039735,0.9701149633,0.973246832,0.9753362519,0.9772289407,0.9783460116,0.9794472535,0.9804263864,0.904306381,0.5929648241,0.8746700906,18.3875843256,-0.0222398415,12.7162119281
ftb,ftb_gsd_sequoia_spoken,0.9242110405,0.957286739,0.9651039735,0.9701149633,0.973246832,0.9753362519,0.9772289407,0.9783460116,0.9794472535,0.9804263864,0.9211973414,0.6457206787,0.8932898603,14.5169019796,-0.0223984418,11.8891094375
ftb,ftb_natdis_partut_pud,0.9242110405,0.957286739,0.9651039735,0.9701149633,0.973246832,0.9753362519,0.9772289407,0.9783460116,0.9794472535,0.9804263864,0.9037268173,0.5106770833,0.8884555235,16.5738931692,-0.0202855981,9.5501969036
ftb,ftb_natdis_partut_sequoia,0.9242110405,0.957286739,0.9651039735,0.9701149633,0.973246832,0.9753362519,0.9772289407,0.9783460116,0.9794472535,0.9804263864,0.9214164956,0.5335941487,0.9101600154,12.5999926273,-0.0200316259,8.8055666233
ftb,ftb_natdis_partut_spoken,0.9242110405,0.957286739,0.9651039735,0.9701149633,0.973246832,0.9753362519,0.9772289407,0.9783460116,0.9794472535,0.9804263864,0.9081712531,0.493591964,0.8893471947,11.4387879235,-0.0197640822,8.8433609204
ftb,ftb_natdis_pud_sequoia,0.9242110405,0.957286739,0.9651039735,0.9701149633,0.973246832,0.9753362519,0.9772289407,0.9783460116,0.9794472535,0.9804263864,0.9042357122,0.5298707348,0.8895319846,18.8446934788,-0.0204104234,9.8902262523
